firm,firm_slug,rating,reviews,account_size,steps,steps_label,profit_targets,daily_drawdown_pct,max_drawdown_pct,pt_dd_ratio,profit_split_pct,payout_timing,fee_discounted,fee_original,fee_assumed,fee_assumption,currency,asset_class,activation_fee,max_contract_size,max_loss_type,max_payout_amount,min_payout_threshold,consistency_rule,loyalty_pts
Tradeify,tradeify,4.8,149,25000,1,Instant,,,1000.0,None,90.0,Not Fixed (Payout Profit Goals are the profits required between payout requests.),230.3,329.0,329.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,000","$1,500","{""eval"": ""None"", ""funded"": ""20%""}",239
My Funded Futures,my-funded-futures,4.6,208,25000,1,1 Step,"$1,500",,1000.0,1:0.67,80.0,5 winning days of $100 minimum,49.0,84.0,84.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$3,000",$250,"{""eval"": ""50%"", ""funded"": ""None""}",65
Alpha Futures,alpha-futures,4.6,37,25000,1,1 Step,"$1,500",,1000.0,1:0.67,90.0,"Weekly, provided the 5 winning days of $200 profit or more and 40% consistency rule is met",67.15,79.0,79.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,000",5 days of $200,"{""eval"": ""None"", ""funded"": ""40%""}",148
Apex Trader Funding,apex-trader-funding,3.8,95,25000,1,1 Step,"$1,500",,1000.0,1:0.6,100.0,Weekly | Minimum of 5 trading days,17.7,118.0,118.0,original_no_discount,USD,futures,$79.00,"{""minis"": 4, ""micros"": 40}",Intraday Trailing,"$1,000",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,25000,1,1 Step,"$1,500",,1000.0,1:0.67,90.0,Profit Requirement and Consistency Rule Met,44.85,69.0,69.0,original_no_discount,USD,futures,$149.00,"{""minis"": 1, ""micros"": 10}",EOD Trailing,"$1,500","$1,500","{""eval"": ""None"", ""funded"": ""25%""}",30
FundedNext Futures,fundednext-futures,4.4,51,25000,1,1 Step,"$1,250",,1000.0,1:0.8,80.0,"50% profit split after every 5 benchmark days, 100% after 30 or more benchmark days",55.99,79.99,79.99,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,None,5 days of $100,"{""eval"": ""40%"", ""funded"": ""None""}",46
NEW,lucid-trading,,,25000,1,1 Step,"$1,250",,1000.0,1:0.8,90.0,Every 5 Days,50.0,100.0,100.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,"$1,000",$500,"{""eval"": ""50%"", ""funded"": ""None""}",83
Take Profit Trader,take-profit-trader,3.3,15,25000,1,1 Step,"$1,500",,1500.0,1:1,80.0,After clearing the buffer zone,90.0,150.0,150.0,original_no_discount,USD,futures,$130.00,"{""minis"": 3, ""micros"": 30}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",149
E8 Futures,e8-futures,4.6,12,25000,1,1 Step,"$1,500",,1000.0,1:0.67,80.0,On Demand (Rules Apply),99.0,110.0,110.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": null}",EOD Trailing,"$1,000",$100,"{""eval"": ""None"", ""funded"": ""35%""}",48
NEW,futureselite,,,25000,1,Instant,,,1000.0,None,80.0,7 winning days of $100 each day | With Profit Goals and Consistency Rule Met | Customizable to 14 waiting days / 21 waiting days,329.0,329.0,329.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,"$1,000","$1,500","{""eval"": ""None"", ""funded"": ""20%""}",543
Earn2Trade,earn2trade,4.7,13,25000,1,1 Step,"$1,750",,1500.0,1:0.86,80.0,"7 Days, Weekly",60.0,150.0,150.0,original_no_discount,USD,futures,$139.00,"{""minis"": 3, ""micros"": 30}",Trailing,"$1,400",None,"{""eval"": ""30%"", ""funded"": ""30%""}",48
Top One Futures,top-one-futures,4.7,66,25000,1,Instant,,,1000.0,None,90.0,FIrst Payout on demand (with 5% profit and 15% consistency rule Achieved) | Subsequent Payouts: Each payout requires a new 5% profit based on your balance after the last payout.,119.9,218.0,218.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,$500,"$1,250","{""eval"": ""None"", ""funded"": ""15%""}",96
Tradeify,tradeify,4.8,149,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,5 days with Minimum profits of $150,97.3,139.0,139.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$1,500","$3,000","{""eval"": ""None"", ""funded"": ""35%""}",101
My Funded Futures,my-funded-futures,4.6,208,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,5 winning days of $150 minimum,107.0,107.0,107.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000",$250,"{""eval"": ""50%"", ""funded"": ""None""}",141
Alpha Futures,alpha-futures,4.6,37,50000,1,1 Step,"$3,000",,2000.0,1:0.67,70.0,"Every 14 days, provided the 40% Consistency Rule",67.15,79.0,79.0,original_no_discount,USD,futures,$149.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$15,000",None,"{""eval"": ""50%"", ""funded"": ""40%""}",148
Apex Trader Funding,apex-trader-funding,3.8,95,50000,1,1 Step,"$3,000",,2000.0,1:0.6,100.0,Weekly | Minimum of 5 trading days,19.7,131.33,131.33,original_no_discount,USD,futures,$79.00,"{""minis"": 6, ""micros"": 60}",Intraday Trailing,"$1,500",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,Profit Requirement and Consistency Rule Met,68.25,105.0,105.0,original_no_discount,USD,futures,$149.00,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$2,500","$3,000","{""eval"": ""None"", ""funded"": ""25%""}",46
FundedNext Futures,fundednext-futures,4.4,51,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,"50% profit split after every 5 benchmark days, 100% after 30 or more benchmark days",69.99,99.99,99.99,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 9}",EOD Trailing,"$1,200",$250,"{""eval"": ""40%"", ""funded"": ""None""}",58
NEW,lucid-trading,,,50000,1,1 Step,"$3,000",,2000.0,1:0.6,90.0,Every 5 Days,65.0,130.0,130.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$2,000",$500,"{""eval"": ""50%"", ""funded"": ""None""}",107
Topstep,topstep,4.5,106,50000,1,1 Step,"$3,000",,2000.0,1:0.67,90.0,Funded Standard Path: 5 Winning days ($150 per winning day to qualify for payout) | Funded Consistency Path: at least 3 Trading days (Meet consistency),49.0,49.0,49.0,original_no_discount,USD,futures,$149.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000",None,"{""eval"": ""50%"", ""funded"": ""None""}",81
Take Profit Trader,take-profit-trader,3.3,15,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,After clearing the buffer zone,102.0,170.0,170.0,original_no_discount,USD,futures,$130.00,"{""minis"": 6, ""micros"": 60}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",168
Blue Guardian Futures,blue-guardian-futures,4.0,84,50000,1,1 Step,"$4,000",,2000.0,1:0.5,100.0,"14 days, provided 5 profitable days is met",35.7,119.0,119.0,original_no_discount,USD,futures,$99.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$1,350",7% buffer zone,"{""eval"": ""30%"", ""funded"": ""30%""}",59
AquaFutures,aquafutures,3.9,68,50000,1,1 Step,"$3,000",,2500.0,1:0.83,100.0,7 Days,40.0,100.0,100.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$1,500",6% buffer zone,"{""eval"": ""40%"", ""funded"": ""40%""}",66
E8 Futures,e8-futures,4.6,12,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,On Demand (Rules Apply),135.0,150.0,150.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": null}",EOD Trailing,"$1,250",$100,"{""eval"": ""None"", ""funded"": ""35%""}",66
TradeDay,tradeday,4.8,11,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,On Demand; After clearing the Buffer Zone,87.5,125.0,125.0,original_no_discount,USD,futures,$139.00,"{""minis"": 5, ""micros"": 50}",Trailing,"$20,000",Equivalent to max drawdown,"{""eval"": ""30%"", ""funded"": ""None""}",98
The Trading Pit Futures,the-trading-pit-futures,,,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,"5 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",89.1,99.0,99.0,original_no_discount,USD,futures,$129.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$5,000 or 50% of realized profits, whichever is lower","$1,000","{""eval"": ""40%"", ""funded"": ""None""}",114
Earn2Trade,earn2trade,4.7,13,50000,1,1 Step,"$3,000",,2000.0,1:0.67,80.0,7 Days,68.0,170.0,170.0,original_no_discount,USD,futures,$139.00,"{""minis"": 6, ""micros"": 60}",Trailing,"$4,000",None,"{""eval"": ""30%"", ""funded"": ""30%""}",54
Tradeify,tradeify,4.8,149,50000,1,Instant,,,2000.0,None,90.0,Not Fixed (Payout Profit Goals are the profits required between payout requests.),328.3,469.0,469.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$2,000","$3,000","{""eval"": ""None"", ""funded"": ""20%""}",340
Top One Futures,top-one-futures,4.7,66,50000,1,Instant,,,2000.0,None,90.0,FIrst Payout on demand (with 5% profit and 15% consistency rule Achieved) | Subsequent Payouts: Each payout requires a new 5% profit based on your balance after the last payout.,218.9,398.0,398.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$1,000","$2,500","{""eval"": ""None"", ""funded"": ""15%""}",175
NEW,lucid-trading,,,50000,1,Instant,,,2000.0,None,90.0,Every 5 Days,364.0,520.0,520.0,original_no_discount,USD,futures,None,"{""minis"": 4, ""micros"": 40}",EOD Trailing,"$2,000",$500,"{""eval"": ""None"", ""funded"": ""20%""}",429
Blue Guardian Futures,blue-guardian-futures,4.0,84,50000,1,Instant,,,2000.0,None,100.0,"14 days, provided 8 profitable days and 20% consistency rule is met.",187.5,625.0,625.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$1,350",7% buffer zone,"{""eval"": ""None"", ""funded"": ""20%""}",309
AquaFutures,aquafutures,3.9,68,50000,1,Instant,,,2000.0,None,100.0,On Demand,246.0,615.0,615.0,original_no_discount,USD,futures,None,"{""minis"": 3, ""micros"": 30}",EOD Trailing,"$1,500",6% buffer zone,"{""eval"": ""None"", ""funded"": ""20%""}",406
Take Profit Trader,take-profit-trader,3.3,15,75000,1,1 Step,"$4,500",,2500.0,1:0.55,80.0,After clearing the buffer zone,147.0,245.0,245.0,original_no_discount,USD,futures,$130.00,"{""minis"": 9, ""micros"": 90}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",243
NEW,goat-funded-futures,,,75000,1,Instant,,,3750.0,None,100.0,"Complete 10 trading days, with 5 winning days",382.0,764.0,764.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$3,000",$250,"{""eval"": ""None"", ""funded"": ""20%""}",630
Tradeify,tradeify,4.8,149,100000,1,1 Step,"$6,000",,3500.0,1:0.6,90.0,5 days with Minimum profits of $200,174.3,249.0,249.0,original_no_discount,USD,futures,None,"{""minis"": 8, ""micros"": 80}",EOD Trailing,"$2,000","$4,500","{""eval"": ""None"", ""funded"": ""35%""}",181
My Funded Futures,my-funded-futures,4.6,208,100000,1,1 Step,"$6,000",,3000.0,1:0.5,90.0,First payout becomes available exactly 24 hours after your first trade on the Sim Funded account (as long as you meet the buffer and minimum payout amount).,213.6,267.0,267.0,original_no_discount,USD,futures,None,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$100,000","$3,100","{""eval"": ""50%"", ""funded"": ""None""}",282
Alpha Futures,alpha-futures,4.6,37,100000,1,1 Step,"$6,000",,4000.0,1:0.67,70.0,"Every 14 days, provided the 40% Consistency Rule is met.",135.15,159.0,159.0,original_no_discount,USD,futures,$149.00,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$15,000",None,"{""eval"": ""50%"", ""funded"": ""40%""}",297
Apex Trader Funding,apex-trader-funding,3.8,95,100000,1,1 Step,"$6,000",,3000.0,1:0.5,100.0,Weekly | Minimum of 5 trading days,29.7,198.0,198.0,original_no_discount,USD,futures,$79.00,"{""minis"": 8, ""micros"": 80}",Intraday Trailing,"$2,000",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,100000,1,1 Step,"$6,000",,3000.0,1:0.5,90.0,Profit Requirement and Consistency Rule Met,135.85,209.0,209.0,original_no_discount,USD,futures,$149.00,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$3,000","$6,000","{""eval"": ""None"", ""funded"": ""25%""}",92
FundedNext Futures,fundednext-futures,4.4,51,100000,1,1 Step,"$6,000",,3000.0,1:0.5,80.0,"50% profit split after every 5 benchmark days, 100% after 30 or more benchmark days",174.99,249.99,249.99,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,None,5 days of $200,"{""eval"": ""40%"", ""funded"": ""None""}",144
NEW,lucid-trading,,,100000,1,1 Step,"$6,000",,3000.0,1:0.5,90.0,Every 5 Days,112.5,225.0,225.0,original_no_discount,USD,futures,None,"{""minis"": 6, ""micros"": 60}",EOD Trailing,"$2,500",$500,"{""eval"": ""50%"", ""funded"": ""None""}",186
Topstep,topstep,4.5,106,100000,1,1 Step,"$6,000",,3000.0,1:0.5,90.0,Funded Standard Path: 5 Winning days ($150 per winning day to qualify for payout) | Funded Consistency Path: at least 3 Trading days (Meet consistency),99.0,99.0,99.0,original_no_discount,USD,futures,$149.00,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$5,000",None,"{""eval"": ""50%"", ""funded"": ""None""}",163
Take Profit Trader,take-profit-trader,3.3,15,100000,1,1 Step,"$6,000",,3000.0,1:0.5,80.0,After clearing the buffer zone,198.0,330.0,330.0,original_no_discount,USD,futures,$130.00,"{""minis"": 12, ""micros"": 120}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",327
Blue Guardian Futures,blue-guardian-futures,4.0,84,100000,1,1 Step,"$8,000",,4000.0,1:0.5,100.0,"14 days, provided 5 profitable days is met",50.7,169.0,169.0,original_no_discount,USD,futures,$149.00,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$2,750",7% buffer zone,"{""eval"": ""30%"", ""funded"": ""30%""}",84
AquaFutures,aquafutures,3.9,68,100000,1,1 Step,"$6,000",,3500.0,1:0.58,100.0,7 Days,78.0,195.0,195.0,original_no_discount,USD,futures,None,"{""minis"": 6, ""micros"": 60}",EOD Trailing,"$3,000",6% buffer zone,"{""eval"": ""40%"", ""funded"": ""40%""}",129
E8 Futures,e8-futures,4.6,12,100000,1,1 Step,"$6,000",,4000.0,1:0.67,80.0,On Demand (Rules Apply),234.0,260.0,260.0,original_no_discount,USD,futures,None,"{""minis"": 8, ""micros"": null}",EOD Trailing,"$2,500",$100,"{""eval"": ""None"", ""funded"": ""35%""}",114
TradeDay,tradeday,4.8,11,100000,1,1 Step,"$6,000",,3000.0,1:0.5,80.0,On Demand; After clearing the Buffer Zone,140.0,200.0,200.0,original_no_discount,USD,futures,$139.00,"{""minis"": 10, ""micros"": 50}",Trailing,"$20,000",Equivalent to max drawdown,"{""eval"": ""30%"", ""funded"": ""None""}",198
The Trading Pit Futures,the-trading-pit-futures,,,100000,1,1 Step,"$6,000",,3000.0,1:0.5,80.0,"5 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",170.1,189.0,189.0,original_no_discount,USD,futures,$129.00,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$5,000 or 50% of realized profits, whichever is lower","$1,000","{""eval"": ""40%"", ""funded"": ""None""}",218
Earn2Trade,earn2trade,4.7,13,100000,1,1 Step,"$6,000",,3500.0,1:0.58,80.0,7 Days,126.0,315.0,315.0,original_no_discount,USD,futures,$139.00,"{""minis"": 12, ""micros"": 120}",Trailing,"$4,000",None,"{""eval"": ""30%"", ""funded"": ""30%""}",101
Traders Launch,traders-launch,4.6,15,100000,1,1 Step,"$2,000",,800.0,1:0.4,55.0,3 days,41.65,49.0,49.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": null}",EOD Trailing,None,1% buffer zone,"{""eval"": ""40%"", ""funded"": ""None""}",69
Tradeify,tradeify,4.8,149,100000,1,Instant,,,4000.0,None,90.0,Not Fixed (Payout Profit Goals are the profits required between payout requests.),440.3,629.0,629.0,original_no_discount,USD,futures,None,"{""minis"": 8, ""micros"": 80}",EOD Trailing,"$2,500","$6,000","{""eval"": ""None"", ""funded"": ""20%""}",457
Top One Futures,top-one-futures,4.7,66,100000,1,Instant,,,3000.0,None,90.0,FIrst Payout on demand (with 5% profit and 15% consistency rule Achieved) | Subsequent Payouts: Each payout requires a new 5% profit based on your balance after the last payout.,309.65,563.0,563.0,original_no_discount,USD,futures,None,"{""minis"": 5, ""micros"": 50}",EOD Trailing,"$1,500","$5,000","{""eval"": ""None"", ""funded"": ""15%""}",248
NEW,lucid-trading,,,100000,1,Instant,,,3500.0,None,90.0,Every 5 Days,490.0,700.0,700.0,original_no_discount,USD,futures,None,"{""minis"": 6, ""micros"": 60}",EOD Trailing,"$2,500",$500,"{""eval"": ""None"", ""funded"": ""20%""}",809
Blue Guardian Futures,blue-guardian-futures,4.0,84,100000,1,Instant,,,4000.0,None,100.0,"14 days, provided 8 profitable days and 20% consistency rule is met.",247.5,825.0,825.0,original_no_discount,USD,futures,None,"{""minis"": 10, ""micros"": 100}",EOD Trailing,$2750,7% buffer zone,"{""eval"": ""None"", ""funded"": ""20%""}",408
AquaFutures,aquafutures,3.9,68,100000,1,Instant,,,3000.0,None,100.0,On Demand,306.0,765.0,765.0,original_no_discount,USD,futures,None,"{""minis"": 6, ""micros"": 60}",EOD Trailing,"$3,000",6% buffer zone,"{""eval"": ""None"", ""funded"": ""20%""}",505
Tradeify,tradeify,4.8,149,150000,1,1 Step,"$9,000",,5000.0,1:0.55,90.0,5 days with Minimum profits of $250,251.3,359.0,359.0,original_no_discount,USD,futures,None,"{""minis"": 12, ""micros"": 120}",EOD Trailing,"$2,500","$6,500","{""eval"": ""None"", ""funded"": ""35%""}",261
My Funded Futures,my-funded-futures,4.6,208,150000,1,1 Step,"$9,000",,4500.0,1:0.5,90.0,First payout becomes available exactly 24 hours after your first trade on the Sim Funded account (as long as you meet the buffer and minimum payout amount).,277.6,347.0,347.0,original_no_discount,USD,futures,None,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$100,000","$4,600","{""eval"": ""50%"", ""funded"": ""None""}",366
Alpha Futures,alpha-futures,4.6,37,150000,1,1 Step,"$9,000",,6000.0,1:0.67,70.0,"Every 14 days, provided the 40% Consistency Rule",203.15,239.0,239.0,original_no_discount,USD,futures,$149.00,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$15,000",None,"{""eval"": ""50%"", ""funded"": ""40%""}",447
Apex Trader Funding,apex-trader-funding,3.8,95,150000,1,1 Step,"$9,000",,4000.0,1:0.4,100.0,Weekly | Minimum of 5 trading days,39.7,264.67,264.67,original_no_discount,USD,futures,$79.00,"{""minis"": 12, ""micros"": 120}",Intraday Trailing,"$2,500",$500+ safety net,"{""eval"": ""None"", ""funded"": ""50%""}",0
Top One Futures,top-one-futures,4.7,66,150000,1,1 Step,"$9,000",,4500.0,1:0.5,90.0,Profit Requirement and Consistency Rule Met,200.85,309.0,309.0,original_no_discount,USD,futures,$149.00,"{""minis"": 7, ""micros"": 70}",EOD Trailing,"$3,500","$9,000","{""eval"": ""None"", ""funded"": ""25%""}",136
NEW,lucid-trading,,,150000,1,1 Step,"$9,000",,4500.0,1:0.5,90.0,Every 5 Days,172.5,345.0,345.0,original_no_discount,USD,futures,None,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$3,000",$500,"{""eval"": ""50%"", ""funded"": ""None""}",285
Topstep,topstep,4.5,106,150000,1,1 Step,"$9,000",,4500.0,1:0.5,90.0,Funded Standard Path: 5 Winning days ($150 per winning day to qualify for payout) | Funded Consistency Path: at least 3 Trading days (Meet consistency),149.0,149.0,149.0,original_no_discount,USD,futures,$149.00,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$5,000",None,"{""eval"": ""50%"", ""funded"": ""None""}",246
Take Profit Trader,take-profit-trader,3.3,15,150000,1,1 Step,"$9,000",,4500.0,1:0.5,80.0,After clearing the buffer zone,216.0,360.0,360.0,original_no_discount,USD,futures,$130.00,"{""minis"": 15, ""micros"": 150}",EOD Trailing,None,None,"{""eval"": ""50%"", ""funded"": ""None""}",356
Blue Guardian Futures,blue-guardian-futures,4.0,84,150000,1,1 Step,"$12,000",,6000.0,1:0.5,100.0,"14 days, provided 5 profitable days is met",80.7,269.0,269.0,original_no_discount,USD,futures,$199.00,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$4,000",7% buffer zone,"{""eval"": ""30%"", ""funded"": ""30%""}",133
AquaFutures,aquafutures,3.9,68,150000,1,1 Step,"$9,000",,5000.0,1:0.56,100.0,7 Days,114.0,285.0,285.0,original_no_discount,USD,futures,None,"{""minis"": 9, ""micros"": 90}",EOD Trailing,"$4,500",6% buffer zone,"{""eval"": ""40%"", ""funded"": ""40%""}",188
E8 Futures,e8-futures,4.6,12,150000,1,1 Step,"$9,000",,6000.0,1:0.67,80.0,On Demand (Rules Apply),351.0,390.0,390.0,original_no_discount,USD,futures,None,"{""minis"": 12, ""micros"": null}",EOD Trailing,"$3,750",$100,"{""eval"": ""None"", ""funded"": ""35%""}",172
TradeDay,tradeday,4.8,11,150000,1,1 Step,"$9,000",,4000.0,1:0.44,80.0,On Demand; After clearing the Buffer Zone,210.0,300.0,300.0,original_no_discount,USD,futures,$139.00,"{""minis"": 15, ""micros"": 50}",Trailing,"$20,000",Equivalent to max drawdown,"{""eval"": ""30%"", ""funded"": ""None""}",297
The Trading Pit Futures,the-trading-pit-futures,,,150000,1,1 Step,"$9,000",,4500.0,1:0.5,80.0,"5 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",260.1,289.0,289.0,original_no_discount,USD,futures,$129.00,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$5,000 or 50% of realized profits, whichever is lower","$1,000","{""eval"": ""40%"", ""funded"": ""None""}",334
Earn2Trade,earn2trade,4.7,13,150000,1,1 Step,"$9,000",,4500.0,1:0.5,80.0,7 Days,150.0,375.0,375.0,original_no_discount,USD,futures,$139.00,"{""minis"": 15, ""micros"": 150}",Trailing,"$4,000",None,"{""eval"": ""30%"", ""funded"": ""30%""}",120
Tradeify,tradeify,4.8,149,150000,1,Instant,,,6000.0,None,90.0,Not Fixed (Payout Profit Goals are the profits required between payout requests.),531.3,759.0,759.0,original_no_discount,USD,futures,None,"{""minis"": 12, ""micros"": 120}",EOD Trailing,"$3,000","$9,000","{""eval"": ""None"", ""funded"": ""20%""}",551
Top One Futures,top-one-futures,4.7,66,150000,1,Instant,,,4500.0,None,90.0,First Payout: You must make 6% of your initial account balance | Second Payout: You must make 5% on top of your new balance (after the first payout is deducted) | Third Payout (and all future payouts): You must make 4% on top of your new balance (after the previous payout is deducted),610.35,939.0,939.0,original_no_discount,USD,futures,None,"{""minis"": 12, ""micros"": 120}",EOD Trailing,"$3,500","$9,000","{""eval"": ""None"", ""funded"": ""20%""}",413
NEW,lucid-trading,,,150000,1,Instant,,,5000.0,None,90.0,Every 5 Days,588.0,840.0,840.0,original_no_discount,USD,futures,None,"{""minis"": 10, ""micros"": 100}",EOD Trailing,"$3,000",$500,"{""eval"": ""None"", ""funded"": ""20%""}",970
Blue Guardian Futures,blue-guardian-futures,4.0,84,150000,1,Instant,,,6000.0,None,100.0,"14 days, provided 8 profitable days and 20% consistency rule is met.",298.5,995.0,995.0,original_no_discount,USD,futures,None,"{""minis"": 15, ""micros"": 150}",EOD Trailing,"$4,000",7% buffer zone,"{""eval"": ""None"", ""funded"": ""20%""}",493
Traders Launch,traders-launch,4.6,15,200000,1,1 Step,"$3,000",,1000.0,1:0.33,55.0,3 days,62.9,74.0,74.0,original_no_discount,USD,futures,None,"{""minis"": 1, ""micros"": 10}",EOD Trailing,None,1% buffer zone,"{""eval"": ""40%"", ""funded"": ""None""}",104
Earn2Trade,earn2trade,4.7,13,200000,1,1 Step,"$11,000",,6000.0,1:0.55,80.0,7 Days,220.0,550.0,550.0,original_no_discount,USD,futures,$139.00,"{""minis"": 16, ""micros"": 160}",Trailing,"$4,000",None,"{""eval"": ""30%"", ""funded"": ""30%""}",176
Traders Launch,traders-launch,4.6,15,300000,1,1 Step,"$5,000",,2000.0,1:0.4,55.0,3 days,118.15,139.0,139.0,original_no_discount,USD,futures,None,"{""minis"": 2, ""micros"": 20}",EOD Trailing,None,1% buffer zone,"{""eval"": ""40%"", ""funded"": ""None""}",195
